Time(s) RTT_Flux1 RTT_Flux2
0.13352 0.03896 NaN
4.9212 0.10648 NaN
2.47064 0.0556 NaN
4.19 0.08056 NaN
2.59544 0.08056 NaN
0.43208 0.07528 NaN
1.71336 0.10856 NaN
0.72328 0.10856 NaN
1.53032 0.10856 NaN
0.54024 0.10856 NaN
1.83816 0.10856 NaN
4.422 0.10648 NaN
0.84808 0.10856 NaN
1.65512 0.10856 NaN
1.13096 0.10856 NaN
0.482 0.07528 NaN
3.40152 0.10648 NaN
0.8564 0.10856 NaN
0.66504 0.10856 NaN
2.7276 0.09816 NaN
4.97112 0.10648 NaN
4.28056 0.0732 NaN
2.71928 0.08984 NaN
3.3516 0.10648 NaN
0.26568 0.042 NaN
4.57176 0.09816 NaN
3.958 0.03896 NaN
1.54696 0.10856 NaN
0.55688 0.10856 NaN
1.36392 0.10856 NaN
4.69656 0.10648 NaN
2.82744 0.10648 NaN
0.37384 0.07528 NaN
1.48872 0.10856 NaN
4.98776 0.10648 NaN
0.49864 0.07528 NaN
1.77992 0.10856 NaN
3.26008 0.10648 NaN
3.93304 0.03896 NaN
2.50392 0.0556 NaN
0.64008 0.10856 NaN
0.6068 0.10856 NaN
1.92136 0.27496 NaN
3.02712 0.10648 NaN
0.93128 0.10856 NaN
3.49304 0.10648 NaN
1.2308 0.10856 NaN
4.22328 0.08056 NaN
3.09368 0.10648 NaN
3.94968 0.03896 NaN
4.1068 0.0556 NaN
4.04024 0.0556 NaN
2.80248 0.10648 NaN
0.87304 0.10856 NaN
4.16504 0.06392 NaN
2.92728 0.09816 NaN
0.47368 0.07528 NaN
4.31384 0.0732 NaN
2.91064 0.09816 NaN
1.75496 0.10856 NaN
0.76488 0.10856 NaN
1.57192 0.10856 NaN
0.58184 0.10856 NaN
4.05688 0.0556 NaN
2.48728 0.0556 NaN
0.88968 0.10856 NaN
4.72984 0.09816 NaN
0.99784 0.10856 NaN
1.8964 0.10856 NaN
1.42216 0.10856 NaN
2.4124 0.0556 NaN
3.00216 0.10648 NaN
3.99032 0.03896 NaN
3.11032 0.10648 NaN
1.4388 0.10856 NaN
3.88408 0.03896 NaN
3.41816 0.10648 NaN
4.14008 0.0556 NaN
2.28856 0.03896 NaN
3.23512 0.10648 NaN
2.5788 0.08056 NaN
1.25576 0.10856 NaN
1.08936 0.10856 NaN
3.52632 0.10648 NaN
1.07272 0.10856 NaN
3.12696 0.10648 NaN
1.19752 0.10856 NaN
0.90632 0.10856 NaN
0.01032 0.03096 NaN
2.57048 0.08056 NaN
3.06872 0.10648 NaN
0.97288 0.10856 NaN
0.50696 0.0836 NaN
1.6468 0.10856 NaN
4.26488 0.08056 NaN
3.35992 0.10648 NaN
2.9356 0.10648 NaN
4.08184 0.0556 NaN
2.33752 0.03896 NaN
0.73992 0.10856 NaN
1.63016 0.10856 NaN
3.50136 0.10648 NaN
4.3804 0.09816 NaN
4.60504 0.10648 NaN
1.86312 0.10856 NaN
1.17256 0.10856 NaN
5.01272 0.10648 NaN
2.3708 0.0556 NaN
2.63608 0.0732 NaN
0.40712 0.07528 NaN
0.18248 0.042 NaN
1.46376 0.10856 NaN
1.28072 0.10856 NaN
2.74424 0.10648 NaN
0.29064 0.042 NaN
1.1892 0.10856 NaN
1.58856 0.10856 NaN
3.33496 0.10648 NaN
0.59848 0.10856 NaN
0.8148 0.10856 NaN
4.43864 0.10648 NaN
2.86904 0.08984 NaN
3.15192 0.10648 NaN
1.87976 0.10856 NaN
1.69672 0.10856 NaN
3.45976 0.10648 NaN
3.27672 0.10648 NaN
4.00696 0.0556 NaN
2.60376 0.08056 NaN
3.56792 0.10648 NaN
2.42072 0.0556 NaN
2.54552 0.08056 NaN
4.5884 0.10648 NaN
4.23992 0.08056 NaN
3.102 0.10648 NaN
4.81304 0.10648 NaN
4.41368 0.10648 NaN
4.63 0.10648 NaN
2.84408 0.09816 NaN
0.61512 0.10856 NaN
0.3572 0.07528 NaN
0.39048 0.07528 NaN
2.66104 0.0732 NaN
1.67176 0.10856 NaN
1.20584 0.10856 NaN
0.69 0.10856 NaN
0.68168 0.10856 NaN
0.21576 0.042 NaN
4.52184 0.08984 NaN
2.95224 0.10648 NaN
1.79656 0.10856 NaN
4.82968 0.10648 NaN
3.54296 0.10648 NaN
4.64664 0.10648 NaN
0.32392 0.042 NaN
4.09848 0.0556 NaN
4.93784 0.10648 NaN
2.52056 0.07224 NaN
0.44872 0.07528 NaN
2.67768 0.0732 NaN
4.3388 0.0732 NaN
2.96888 0.10648 NaN
0.5652 0.10856 NaN
2.78584 0.10648 NaN
3.21016 0.10648 NaN
3.0604 0.10648 NaN
2.23128 0.03896 NaN
4.0652 0.0556 NaN
1.8548 0.10856 NaN
5.02936 0.10648 NaN
3.44312 0.10648 NaN
1.29736 0.10856 NaN
3.04376 0.10648 NaN
0.82312 0.10856 NaN
3.16856 0.10648 NaN
4.91288 0.10648 NaN
4.11512 0.0556 NaN
5.0044 0.10648 NaN
0.42376 0.07528 NaN
4.18168 0.08056 NaN
0.71496 0.10856 NaN
4.85464 0.10648 NaN
2.76088 0.10648 NaN
0.53192 0.10856 NaN
1.82984 0.10856 NaN
2.43736 0.0556 NaN
0.83976 0.10856 NaN
0.65672 0.10856 NaN
0.94792 0.10856 NaN
2.37912 0.0556 NaN
1.3972 0.10856 NaN
3.2684 0.10648 NaN
2.99384 0.10648 NaN
1.314 0.10856 NaN
1.38056 0.10856 NaN
1.03944 0.10856 NaN
4.53848 0.08984 NaN
2.3052 0.03896 NaN
3.25176 0.10648 NaN
4.35544 0.08152 NaN
3.4764 0.10648 NaN
4.7964 0.10648 NaN
3.37656 0.10648 NaN
3.19352 0.10648 NaN
0.92296 0.10856 NaN
2.35416 0.0556 NaN
3.48472 0.10648 NaN
1.1476 0.10856 NaN
3.0188 0.10648 NaN
4.21496 0.08056 NaN
4.03192 0.0556 NaN
2.46232 0.0556 NaN
4.15672 0.0556 NaN
2.58712 0.08056 NaN
1.70504 0.10856 NaN
4.33048 0.0732 NaN
2.47896 0.0556 NaN
1.30568 0.10856 NaN
4.5468 0.08984 NaN
1.12264 0.10856 NaN
4.62168 0.10648 NaN
4.45528 0.10648 NaN
0.7732 0.10856 NaN
2.6444 0.0732 NaN
